Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude
2021-05-26,2020,Guilford,21 HALLECK ST,243100.0,445000.0,0.5462,Residential,Single Family,Unknown,Unknown
2021-06-15,2020,Avon,7 LINDEN LANE,529730.0,750000.0,0.7063,Residential,Single Family,-72.90032,41.80623
2021-08-24,2020,Lebanon,85 LAKE SHORE DR,179770.0,305500.0,0.5884,Residential,Single Family,Unknown,Unknown
2020-11-23,2020,Glastonbury,306 GEORGETOWN DR,164600.0,270000.0,0.6096,Residential,Condo,Unknown,Unknown
2021-04-22,2020,East Haddam,110 EH COLCHESTER TPKE,133450.0,254900.0,0.5235,Residential,Single Family,-72.43474,41.49056
2020-11-23,2020,Farmington,21 FOREST ST,150430.0,295000.0,0.5099,Residential,Single Family,-72.88563,41.75197
2021-01-19,2020,Easton,315 ROCK HOUSE ROAD,355620.0,535000.0,0.6647,Residential,Single Family,Unknown,Unknown
2021-06-17,2020,Cromwell,328 MAIN STREET,218260.0,536250.0,0.407011655,Commercial,Unknown,-72.64505,41.59544
2021-07-02,2020,Guilford,18 LANTERN HILL LN,379020.0,825000.0,0.4594,Residential,Single Family,Unknown,Unknown
2020-10-29,2020,Hartford,168 ADELAIDE ST,62580.0,93000.0,0.6729,Residential,Two Family,-72.68028,41.74132
2021-01-05,2020,Bristol,381 WATERBURY RD,85120.0,90000.0,0.9457,Residential,Single Family,-72.97115,41.66949
2020-11-02,2020,Enfield,46 ELM MEADOWS,106860.0,160000.0,0.6678,Residential,Condo,-72.56737,42.00223
2020-11-16,2020,Cromwell,16 HIGHLAND GREEN,244860.0,375000.0,0.6529,Residential,Condo,Unknown,Unknown
2021-01-06,2020,Groton,25 WHITEHALL LN,47250.0,75000.0,0.63,Vacant Land,Unknown,-71.98058,41.36024
2020-11-23,2020,Farmington,11 PEGGY LA,136490.0,242500.0,0.5628,Residential,Single Family,-72.89011,41.7018
2021-06-01,2020,Cheshire,85 QUARRY VILLAGE RD,141550.0,215000.0,0.6583,Residential,Condo,Unknown,Unknown
2021-04-26,2020,East Haddam,90 MOTT LANE,165140.0,246000.0,0.6713,Residential,Single Family,Unknown,Unknown
2021-05-25,2020,Eastford,41 CHAPLIN RD,94440.0,140000.0,0.6745,Residential,Single Family,-72.08854,41.8724
2020-12-02,2020,Canton,31 OLD MILL DRIVE,259610.0,339000.0,0.7658,Residential,Single Family,Unknown,Unknown
2021-03-29,2020,Hartford,569 PARK ST,106190.0,200000.0,0.53095,Commercial,Unknown,Unknown,Unknown
2021-08-30,2020,Hartford,170 SOUTH MARSHALL ST,62218.0,110000.0,0.5656,Residential,Single Family,-72.69864,41.76475
2020-11-13,2020,Greenwich,30 HENDRIE AVENUE,949480.0,1556000.0,0.6102,Residential,Single Family,-73.58503,41.03333
2020-11-24,2020,Bethel,8 TURKEY PLAIN ROAD,276360.0,435000.0,0.6353,Residential,Single Family,-73.41689,41.35605
2021-03-04,2020,Bristol,24 REILLY PLACE,102690.0,150000.0,0.6846,Residential,Two Family,-72.94385,41.68226
2021-08-31,2020,Bristol,404-406 PARK ST,82960.0,224900.0,0.368875056,Residential,Two Family,Unknown,Unknown
2020-12-28,2020,Farmington,1 MAPLE RIDGE DR,201360.0,257000.0,0.7835,Residential,Single Family,Unknown,Unknown
2020-10-27,2020,Darien,30 LEEUWARDEN RD,1107470.0,1750000.0,0.6328,Residential,Single Family,-73.5066,41.08673
2021-05-27,2020,Greenwich,27 ST ROCK'S AVENUE,469070.0,375000.0,1.2508,Residential,Single Family,Unknown,Unknown
2021-02-16,2020,Manchester,231 BIDWELL STREET,133400.0,161400.0,0.826517968,Residential,Two Family,-72.5496,41.76097
2021-03-04,2020,East Haven,140 THOMPSON AVE #20E,95260.0,150000.0,0.635,Residential,Condo,Unknown,Unknown
2021-05-26,2020,East Haddam,528 MT PARNASSUS RD,207590.0,395000.0,0.5255,Residential,Single Family,Unknown,Unknown
2021-06-18,2020,Enfield,13 EILEEN LA,139440.0,265000.0,0.5261,Residential,Single Family,-72.54273,41.95042
2021-08-31,2020,East Windsor,84 NORTH RD,70920.0,250000.0,0.2836,Residential,Single Family,Unknown,Unknown
2021-09-14,2020,Danbury,907 SIENNA DR,174900.0,360000.0,0.4858,Residential,Condo,Unknown,Unknown
2021-07-02,2020,Groton,258 ROUTE 12,1328950.0,3168000.0,0.4194,Commercial,Unknown,-72.07088,41.36956
2021-07-15,2020,Avon,3 KEYSTONE CIRCLE,143390.0,237000.0,0.605,Residential,Condo,-72.84979,41.80856
2020-11-10,2020,Enfield,37 ST THOMAS ST,132980.0,190000.0,0.6998,Residential,Single Family,-72.5744,42.00496
2020-12-08,2020,Bozrah,136 SCOTT HILL RD,196120.0,360000.0,0.5447,Residential,Single Family,Unknown,Unknown
2021-08-02,2020,Danbury,126 TRIANGLE ST A22,60800.0,137000.0,0.4437,Residential,Condo,Unknown,Unknown
2020-10-19,2020,Branford,61 QUARRY DOCK RD,188800.0,449200.0,0.4203,Residential,Condo,Unknown,Unknown
2020-11-30,2020,Manchester,165 AUTUMN STREET,101700.0,185000.0,0.5497,Residential,Single Family,-72.50551,41.77069
2021-06-24,2020,Glastonbury,53 PINNACLE RD,159900.0,232000.0,0.6892,Residential,Single Family,Unknown,Unknown
2021-09-14,2020,Litchfield,522 TORRINGTON RD,172950.0,309435.0,0.5589,Residential,Single Family,Unknown,Unknown
2021-08-02,2020,Harwinton,53 SOUTH RD,412880.0,1500000.0,0.275253333,Residential,Single Family,Unknown,Unknown
2020-10-07,2020,Danbury,29 SADDLE ROCK RD,297100.0,489900.0,0.6064,Residential,Single Family,Unknown,Unknown
2021-06-02,2020,Greenwich,216 BYRAM SHORE ROAD,2526230.0,2499000.0,1.0108,Residential,Single Family,-73.65605,40.99031
2021-08-26,2020,East Hartford,932 OAK ST,118240.0,260000.0,0.4547,Residential,Single Family,-72.57419,41.73594
2021-09-20,2020,Danbury,23 HAWTHORNE COVE RD,226800.0,480000.0,0.4725,Residential,Single Family,-73.42762,41.45809
2021-05-03,2020,Canton,2 BRIDLE PATH,200240.0,330000.0,0.6067,Residential,Condo,Unknown,Unknown
2021-04-01,2020,Darien,480 MANSFIELD AVE,767970.0,815000.0,0.9422,Residential,Single Family,-73.48546,41.10925
2020-12-10,2020,Hartford,40 EATON ST,69685.0,199900.0,0.3485993,Residential,Two Family,Unknown,Unknown
2021-08-04,2020,Darien,6 ST JOHNS PLACE,521990.0,770000.0,0.6779,Residential,Single Family,-73.48567,41.06786
2020-10-07,2020,Guilford,79 SURREY LN,241090.0,443000.0,0.5442,Residential,Single Family,-72.70663,41.31992
2021-04-05,2020,Guilford,289 NEW ENGLAND RD,184740.0,335000.0,0.5514,Residential,Single Family,Unknown,Unknown
2020-12-14,2020,Bristol,16 MELVILLE ST,102480.0,125000.0,0.8198,Residential,Single Family,Unknown,Unknown
2021-02-03,2020,Darien,315 MIDDLESEX ROAD,775530.0,1375000.0,0.564,Residential,Single Family,Unknown,Unknown
2020-10-01,2020,East Hartford,309 TOLLAND ST,174940.0,365000.0,0.4792,Apartments,Unknown,-72.62086,41.77975
2021-05-28,2020,Branford,341 PINE ORCHARD RD,1136900.0,291000.0,3.9068,Residential,Single Family,Unknown,Unknown
2021-01-21,2020,Burlington,9 MIDDLE CROFT RD,313390.0,520000.0,0.602673077,Residential,Single Family,-72.98713,41.76524
2021-04-22,2020,East Lyme,108 LAURELWOOD DR,280070.0,439000.0,0.6379,Residential,Single Family,-72.2316,41.30955
2021-01-07,2020,Guilford,360 JEFFERSON DR,239660.0,451000.0,0.5313,Residential,Single Family,-72.73528,41.31219
2020-10-26,2020,Guilford,379 WHITFIELD ST CS0736,14280.0,13500.0,1.0577,Residential,Condo,-72.67743,41.27808
2021-07-06,2020,Danbury,245 WHITE ST,199700.0,370000.0,0.5397,Residential,Two Family,-73.43739,41.39953
2020-10-15,2020,Bethel,39 C MAIN STREET,77420.0,122300.0,0.633,Residential,Condo,Unknown,Unknown
2021-07-09,2020,East Hartford,81 WHITING RD,93860.0,215000.0,0.4365,Residential,Single Family,Unknown,Unknown
2020-12-16,2020,Greenwich,3 INDIAN KNOLL PLACE,1995000.0,2275000.0,0.8769,Residential,Condo,Unknown,Unknown
2021-07-27,2020,Kent,16 ELIZABETH ST U6,60200.0,155000.0,0.3883,Residential,Condo,-73.47857,41.72695
2021-08-11,2020,Bloomfield,6 TURNBERRY LANE,263410.0,365000.0,0.7216,Residential,Condo,Unknown,Unknown
2021-03-02,2020,East Lyme,20 WOODLAND DR,324310.0,775000.0,0.4184,Residential,Single Family,-72.21383,41.30007
2021-07-14,2020,Enfield,24 PLAY RD,104760.0,83000.0,1.2621,Residential,Single Family,Unknown,Unknown
2021-04-08,2020,Hebron,9 HICKORY DR,138750.0,265000.0,0.5235,Residential,Single Family,-72.42939,41.73034
2021-08-30,2020,Coventry,97 OLDE TAVERN LN,205700.0,335000.0,0.614,Residential,Single Family,-72.31778,41.80147
2021-04-07,2020,Hartford,61 GOODWIN CIR #029H,170940.0,417500.0,0.4094,Residential,Condo,Unknown,Unknown
2021-07-12,2020,East Granby,4 LONGVIEW DRIVE,225700.0,449900.0,0.5016,Residential,Single Family,-72.74304,41.91105
2021-08-26,2020,Danbury,14 SOUTH ST 26,144000.0,301000.0,0.4784,Residential,Condo,Unknown,Unknown
2021-09-22,2020,Greenwich,64 HILLSIDE ROAD,815920.0,887750.0,0.919,Residential,Single Family,-73.61068,41.04586
2020-11-02,2020,Ansonia,76 BENZ ST,155100.0,265000.0,0.5852,Residential,Single Family,Unknown,Unknown
2021-06-01,2020,Colchester,91 DAVID DR,134400.0,275000.0,0.4887,Residential,Single Family,Unknown,Unknown
2020-12-16,2020,Groton,3 HALYARD RD,499520.0,861888.0,0.5795,Residential,Single Family,-72.01328,41.32195
2021-01-19,2020,Colchester,16 FREEDOM WAY,245200.0,375000.0,0.6538,Residential,Condo,Unknown,Unknown
2021-04-23,2020,Coventry,44 PINE LAKE DR,107100.0,267000.0,0.401123596,Residential,Single Family,Unknown,Unknown
2021-01-05,2020,Danbury,96 WARRINGTON RN,248800.0,480000.0,0.5183,Residential,Condo,Unknown,Unknown
2021-04-28,2020,Guilford,5 DURHAM RD C4,210750.0,300000.0,0.7025,Commercial,Unknown,Unknown,Unknown
2021-08-02,2020,Branford,5-09 PLYMOUTH COLONY,131900.0,232000.0,0.5685,Residential,Condo,Unknown,Unknown
2021-03-15,2020,Litchfield,36 GOSLEE RD,177570.0,390000.0,0.4553,Residential,Single Family,Unknown,Unknown
2021-06-24,2020,Manchester,131 LAKE STREET,131000.0,296000.0,0.4425,Residential,Single Family,Unknown,Unknown
2021-09-29,2020,Burlington,30 MEADOW RD,152180.0,260000.0,0.585307692,Residential,Single Family,-72.93138,41.7269
2021-08-25,2020,Guilford,133 OLD QUARRY RD,2922500.0,3800000.0,0.769,Residential,Single Family,-72.73199,41.25962
2021-06-24,2020,Darien,28 GEORGIAN LANE,849030.0,1625000.0,0.5224,Residential,Single Family,Unknown,Unknown
2020-12-31,2020,Madison,155 OVERSHORES DR WEST,971100.0,2100000.0,0.462428571,Residential,Single Family,-72.6252,41.27272
2020-10-13,2020,East Haven,110 COMMERCE ST,1396960.0,2550000.0,0.5478,Industrial,Unknown,Unknown,Unknown
2021-06-01,2020,Griswold,151 EAST MAIN ST,122850.0,272000.0,0.451654412,Residential,Single Family,-72.80407,41.28815
2021-08-23,2020,Enfield,51 SCHOOL ST,128810.0,287500.0,0.448,Residential,Single Family,-72.5361,41.99128
2020-10-27,2020,Hartford,73 IMLAY ST #00C1,48790.0,122000.0,0.3999,Residential,Condo,-72.69547,41.76731
2021-05-13,2020,Greenwich,43 ALMIRA DRIVE,616350.0,1220100.0,0.5051,Residential,Single Family,Unknown,Unknown
2021-02-16,2020,Danbury,149 PLEASANT VIEW LANE,0.0,85500.0,0.0,Residential,Single Family,Unknown,Unknown
2020-12-08,2020,Ashford,37 BIRCHWOOD DR,114200.0,235000.0,0.4859,Residential,Single Family,-72.1315,41.90131
2020-10-21,2020,Bristol,21 SUMMIT ST,151130.0,260000.0,0.5812,Residential,Single Family,Unknown,Unknown
2020-12-10,2020,Bethany,66 BROOKS RD,320430.0,475000.0,0.6745,Residential,Single Family,Unknown,Unknown
2021-06-23,2020,Enfield,710 ENFIELD ST,343410.0,410000.0,0.8375,Commercial,Unknown,Unknown,Unknown
2020-11-10,2020,Colchester,790 MIDDLETOWN RD,122000.0,119000.0,1.025210084,Residential,Single Family,-72.42017,41.54631
2021-03-04,2020,Glastonbury,476 WICKHAM RD,250300.0,360000.0,0.6952,Residential,Single Family,-72.56089,41.70242
2021-04-12,2020,East Hartford,89 NAUBUC AVE,68740.0,145000.0,0.474068966,Residential,Single Family,-72.62885,41.73268
2021-09-23,2020,Cheshire,822 ROARING BROOK RD,262240.0,431000.0,0.6084,Residential,Single Family,Unknown,Unknown
2021-09-03,2020,Branford,11 SEAVIEW AVE,661400.0,1380000.0,0.4792,Residential,Single Family,Unknown,Unknown
2020-10-05,2020,Hartford,22 WESTLAND ST,31710.0,70000.0,0.453,Residential,Three Family,Unknown,Unknown
2021-07-19,2020,Guilford,941 WEST LAKE AVE,250060.0,480000.0,0.5209,Residential,Single Family,-72.73561,41.33225
2020-10-22,2020,Glastonbury,176 POND CIR,183900.0,339000.0,0.5424,Residential,Single Family,-72.54935,41.71753
2021-05-03,2020,Danbury,86 MERRIMAC ST B,189800.0,240000.0,0.7908,Residential,Condo,Unknown,Unknown
2021-06-29,2020,Manchester,250 BIRCH MOUNTAIN ROAD,197800.0,299000.0,0.6615,Residential,Single Family,-72.476,41.76215
2021-07-16,2020,Greenwich,30 BRAMBLE LANE,1042650.0,1990000.0,0.5239,Residential,Single Family,-73.58102,41.03515
2021-06-22,2020,Guilford,318 EAST RIVER ST,224500.0,430000.0,0.522,Residential,Single Family,Unknown,Unknown
2021-06-23,2020,Greenwich,33 MEADOWCROFT LANE,2226840.0,4200000.0,0.5302,Residential,Single Family,-73.63541,41.07353
2020-11-13,2020,Enfield,34 WYNWOOD DR,86320.0,160000.0,0.5395,Residential,Condo,-72.56825,41.94774
2021-09-13,2020,Hartford,162 EUCLID ST WEST,65453.0,190000.0,0.344489474,Residential,Single Family,Unknown,Unknown
2020-11-05,2020,Danbury,7 PADANARAM RD #87,77500.0,130000.0,0.5961,Residential,Condo,Unknown,Unknown
2021-06-29,2020,Killingly,45 SHEPARD HILL RD,35840.0,75000.0,0.4778,Vacant Land,Unknown,Unknown,Unknown
2021-03-23,2020,Danbury,55 MILL PLAIN RD 34-2,106300.0,195000.0,0.5451,Residential,Condo,Unknown,Unknown
2020-11-12,2020,Cheshire,351 MIXVILLE RD,137400.0,90000.0,1.5266,Residential,Single Family,-72.93577,41.51721
2021-02-02,2020,East Hartford,1549 MAIN ST,257040.0,187500.0,1.3708,Commercial,Unknown,-72.63645,41.77958
2020-11-19,2020,East Hartford,29 MOORE AVE,98890.0,202000.0,0.4895,Residential,Single Family,Unknown,Unknown
2002-06-17,2001,Bristol,570 WITCHES ROCK RD,85700.0,184400.0,0.464750542,Unknown,Unknown,Unknown,Unknown
2021-04-15,2020,Greenwich,1 HARBOR DRIVE,9730000.0,10000000.0,0.973,Residential,Single Family,-73.63813,41.00544
2020-10-01,2020,Griswold,24 PLEASANT VIEW STREET,94360.0,156000.0,0.6048,Residential,Single Family,-71.97543,41.60164
2021-04-16,2020,Enfield,21 SUSAN CIR,134190.0,223250.0,0.601,Residential,Single Family,Unknown,Unknown
2021-04-27,2020,Bristol,195 FRENCH ST,122900.0,255000.0,0.4819,Residential,Single Family,-72.8956,41.68796
2021-02-02,2020,Cornwall,15 STONE HILL RD,92800.0,108000.0,0.8592,Vacant Land,Unknown,-73.30805,41.89131
2021-02-04,2020,East Hartford,94 MADISON ST,92510.0,165000.0,0.5606,Residential,Single Family,Unknown,Unknown
2021-08-02,2020,Manchester,13 RED ROCK LANE,182400.0,269900.0,0.6758,Residential,Single Family,-72.53704,41.80125
2021-05-11,2020,East Haddam,1 HILLSIDE RD,137270.0,309000.0,0.4442,Residential,Single Family,Unknown,Unknown
2021-01-06,2020,Branford,49 ROSE ST TOWERS UNIT 404,96700.0,135000.0,0.716296296,Residential,Condo,Unknown,Unknown
2020-11-06,2020,Groton,72 THAMES HEIGHT LN,109060.0,157000.0,0.6946,Residential,Condo,-72.07857,41.37942
2020-12-09,2020,Easton,10 STEPNEY ROAD,390530.0,858000.0,0.4551,Residential,Single Family,-73.29634,41.27229
2021-03-10,2020,Cheshire,403 E MITCHELL AVE,37910.0,80000.0,0.4738,Residential,Condo,Unknown,Unknown
2021-08-09,2020,Farmington,48 WELLINGTON DR,79620.0,155000.0,0.5136,Residential,Condo,Unknown,Unknown
2020-11-12,2020,Killingworth,12 LIVEMORE TRAIL,75500.0,68500.0,1.1021,Residential,Single Family,Unknown,Unknown
2021-05-17,2020,Enfield,2 ANN ST,131200.0,205000.0,0.64,Residential,Single Family,Unknown,Unknown
2021-03-19,2020,Guilford,140 DUNK ROCK RD,186380.0,410000.0,0.4545,Residential,Single Family,-72.69897,41.28813
2021-08-13,2020,East Haddam,34 GLIMMER GLEN,211910.0,416000.0,0.5093,Residential,Single Family,Unknown,Unknown
2021-03-10,2020,Colebrook,75 BEECH HILL ROAD,45890.0,164000.0,0.279817073,Vacant Land,Unknown,Unknown,Unknown
2021-09-09,2020,Greenwich,14 COMPLY TERRACE,466900.0,935000.0,0.4993,Residential,Single Family,Unknown,Unknown
2021-06-29,2020,Madison,20 WILLOW LN,260400.0,560000.0,0.465,Residential,Single Family,-72.62822,41.3517
2021-01-14,2020,Greenwich,44 STIRRUP LANE,486640.0,825000.0,0.5898,Residential,Single Family,-73.58098,41.04932
2021-06-07,2020,Granby,3 MORNINGSIDE DR,210840.0,350000.0,0.6024,Residential,Single Family,Unknown,Unknown
2021-07-30,2020,Farmington,18 WINCHESTER COURT,112470.0,253000.0,0.4445,Residential,Condo,Unknown,Unknown
2021-07-07,2020,East Granby,9 HEATHER LANE,136700.0,165000.0,0.8284,Residential,Single Family,-72.74529,41.90968
2020-12-23,2020,East Hartford,91 ARBUTUS ST,87880.0,183000.0,0.4802,Residential,Single Family,Unknown,Unknown
2021-07-14,2020,Danbury,43 BRIARWOOD DR,151300.0,325000.0,0.4655,Residential,Condo,Unknown,Unknown
2021-07-28,2020,Killingly,294 MASHENTUCK RD,32340.0,45000.0,0.7186,Vacant Land,Unknown,Unknown,Unknown
2021-08-12,2020,Bristol,135 NEWELL AVE,78540.0,150000.0,0.5236,Residential,Single Family,-72.96735,41.66827
2021-03-01,2020,Ansonia,21 FAIRVIEW ST,107600.0,195000.0,0.5517,Residential,Single Family,-73.06065,41.33184
2021-07-06,2020,Bloomfield,12 HIGH WOOD ROAD,260680.0,660000.0,0.3949,Residential,Single Family,Unknown,Unknown
2021-05-28,2020,Greenwich,1465 EAST PUTNAM AVENUE #625,221200.0,405000.0,0.5461,Residential,Condo,-73.56966,41.04706
2020-12-07,2020,Derby,20 KINDLE LN,148610.0,254900.0,0.583,Residential,Single Family,-73.07388,41.31408
2020-12-09,2020,Branford,87 QUARRY DOCK RD,200200.0,425000.0,0.471,Residential,Condo,-72.81437,41.26823
2020-10-02,2020,Essex,38 GRANDVIEW TERR #1,119400.0,290000.0,0.411724138,Residential,Condo,Unknown,Unknown
2021-06-21,2020,Mansfield,47 RIDGE CIR,34000.0,55000.0,0.6181,Residential,Single Family,-72.27314,41.82177
2020-11-30,2020,Cheshire,1153 TUCKER RD,164220.0,260000.0,0.6316,Residential,Single Family,Unknown,Unknown
2021-01-29,2020,Bethel,18 JACOBS LANE,559580.0,512500.0,1.091863415,Residential,Single Family,-73.37597,41.34823
2021-03-09,2020,Greenwich,26 NICHOLAS AVENUE,324240.0,580000.0,0.559,Residential,Single Family,-73.66271,41.02536
2021-07-01,2020,Bristol,105 BROOK ST,140770.0,235000.0,0.599,Residential,Single Family,-72.90698,41.68193
2021-01-29,2020,Litchfield,132 BANTAM LAKE RD,217280.0,415000.0,0.5235,Residential,Single Family,Unknown,Unknown
2021-09-23,2020,Groton,64 LAURELWOOD RD,101360.0,250000.0,0.4054,Residential,Single Family,-72.04668,41.34822
2021-07-01,2020,Madison,36 WILDWOOD AVE,204300.0,345000.0,0.5921,Residential,Single Family,-72.63833,41.2876
2021-07-26,2020,Guilford,1265 GREAT HILL RD,334380.0,720000.0,0.4644,Residential,Single Family,Unknown,Unknown
2021-01-21,2020,East Windsor,117 MELROSE RD,96650.0,230000.0,0.4202,Residential,Single Family,Unknown,Unknown
2020-12-29,2020,Bethlehem,63 RIDGE ROAD,75500.0,30000.0,2.5166,Residential,Single Family,-73.20445,41.65406
2021-04-21,2020,Goshen,88 WEST HYERDALE DRIVE,394490.0,650000.0,0.6069,Residential,Single Family,Unknown,Unknown
2021-02-09,2020,Hartford,112 BALTIMORE ST,59885.0,252000.0,0.2376,Residential,Three Family,Unknown,Unknown
2021-08-30,2020,Bristol,168 GREENE ST,86170.0,180000.0,0.4787,Residential,Two Family,-72.95541,41.66872
2021-05-13,2020,Darien,13 RAYMOND ST,475440.0,312500.0,1.5214,Residential,Single Family,-73.44772,41.07402
2021-04-01,2020,Glastonbury,468 MARLBOROUGH RD,570800.0,830000.0,0.6877,Residential,Single Family,-72.47023,41.68942
2021-04-05,2020,Canton,110 WINTERBOURNE LANE,127730.0,232000.0,0.5505,Residential,Condo,-72.92036,41.83502
2021-06-07,2020,Killingly,140 NO FRONTAGE RD,210280.0,439000.0,0.4789,Residential,Two Family,Unknown,Unknown
2020-10-22,2020,East Hartford,42 NASSAU LN,70050.0,132900.0,0.527,Residential,Single Family,-72.62363,41.74015
2020-11-02,2020,Manchester,494 EAST CENTER STREET,169700.0,260000.0,0.6526,Residential,Single Family,-72.50209,41.78134
2021-07-06,2020,Glastonbury,194 WEIR ST,161300.0,290000.0,0.5562,Residential,Single Family,-72.5195,41.70581
2020-11-06,2020,Goshen,64 WELLSFORD DRIVE,164480.0,325000.0,0.506,Residential,Single Family,-73.2459,41.8113
2021-07-20,2020,East Lyme,16 NATHAN HALE DR,143850.0,750000.0,0.1918,Residential,Single Family,Unknown,Unknown
2020-11-06,2020,Hartford,21 MAPLETON ST,55895.0,185000.0,0.3021,Residential,Two Family,Unknown,Unknown
2020-10-01,2020,Hartford,735 MAPLE AVE,78645.0,325000.0,0.2419,Residential,Three Family,Unknown,Unknown
2021-08-17,2020,Darien,48 LONG NECK POINT ROAD,2073190.0,3450000.0,0.6009,Residential,Single Family,-73.47859,41.05172
2021-03-01,2020,Manchester,77 CHESTNUT STREET,108500.0,199900.0,0.5427,Residential,Single Family,Unknown,Unknown
2021-03-24,2020,Bristol,258 MORNINGSIDE DR WEST,155780.0,256300.0,0.6078,Residential,Single Family,-72.90569,41.68659
2021-02-03,2020,Hartford,224 FRANKLIN AVE,54775.0,318000.0,0.1722,Residential,Three Family,-72.67666,41.74485
2021-09-20,2020,Branford,9 FLAT ROCK RD EXT,208700.0,405000.0,0.5153,Residential,Single Family,-72.7474,41.27541
2021-01-25,2020,Berlin,33 GARDEN DRIVE,170200.0,289500.0,0.58791019,Residential,Single Family,-72.77588,41.63949
2020-10-21,2020,Groton,552B SHENNECOSSETT RD,60970.0,135000.0,0.4516,Residential,Condo,Unknown,Unknown
2020-11-13,2020,Hartford,125 MATHER ST,39025.0,117420.0,0.3323,Residential,Single Family,Unknown,Unknown
2021-05-20,2020,Manchester,47 COTTAGE STREET,93700.0,200000.0,0.4685,Residential,Single Family,Unknown,Unknown
2021-09-16,2020,Greenwich,323 ORCHARD STREET,675500.0,1650000.0,0.4093,Residential,Single Family,Unknown,Unknown
2021-07-08,2020,Bethlehem,58 EAST ST,123500.0,329900.0,0.374355865,Residential,Single Family,Unknown,Unknown
2021-04-26,2020,Hartford,99 BARBOUR ST,25550.0,7000.0,3.65,Vacant Land,Unknown,-72.67872,41.78809
2020-11-20,2020,Bethany,41 EMERALD LN,95620.0,132000.0,0.7243,Vacant Land,Unknown,-73.02036,41.41221
2021-09-22,2020,Beacon Falls,22 BROCKTON COURT,90550.0,190000.0,0.4765,Residential,Condo,-73.0384,41.46542
2021-06-15,2020,Darien,3 PARK LANE,581210.0,851000.0,0.6829,Residential,Single Family,-73.51114,41.07278
2020-12-14,2020,Hartford,62 VINELAND TERR,39970.0,55000.0,0.726727273,Residential,Two Family,-72.68432,41.78865
2020-11-20,2020,Bristol,316 TYLER WAY,167720.0,325000.0,0.516,Residential,Single Family,-72.98121,41.64455
2021-01-11,2020,Cheshire,1739 MARION RD,207530.0,350000.0,0.5929,Residential,Single Family,-72.92531,41.55315
2021-09-14,2020,Bethel,31 WHIPPOORWILL ROAD,226520.0,408500.0,0.5545,Residential,Single Family,-73.40034,41.36512
2020-12-14,2020,Coventry,2448 BOSTON TPK,107800.0,164100.0,0.6569,Residential,Single Family,-72.40051,41.79694
2021-09-14,2020,East Lyme,49 SUNSET AVE,284270.0,757000.0,0.375521797,Residential,Single Family,-72.21029,41.29611
2021-07-07,2020,Coventry,27 MINK TR,41100.0,80000.0,0.5137,Residential,Single Family,Unknown,Unknown
2020-10-30,2020,Farmington,2 MALS WAY,309930.0,550000.0,0.5635,Residential,Single Family,Unknown,Unknown
2020-10-09,2020,Hartford,170 PEMBROKE ST,50750.0,75000.0,0.676666667,Residential,Single Family,Unknown,Unknown
2021-02-05,2020,Killingly,24 CENTER ST,44660.0,32900.0,1.357446809,Commercial,Unknown,Unknown,Unknown
2021-02-26,2020,Avon,275 WEST MAIN STREET,265497.0,111070.0,2.3903,Residential,Single Family,-72.85448,41.81278
2021-01-19,2020,Berlin,359 WETHERSFIELD ROAD,181700.0,267500.0,0.6792,Residential,Single Family,Unknown,Unknown
2021-09-17,2020,Branford,54 NO MAIN ST,202600.0,450000.0,0.4502,Commercial,Unknown,Unknown,Unknown
2021-06-08,2020,Danbury,8 BEAR MOUNTAIN RD,204800.0,330000.0,0.620606061,Residential,Single Family,Unknown,Unknown
2021-03-01,2020,Branford,12C PINEVIEW,81500.0,142500.0,0.5719,Residential,Condo,-72.81492,41.30727
2020-10-05,2020,Branford,83 JEFFERSON WOODS,108900.0,199900.0,0.5447,Residential,Condo,-72.84505,41.27279
2021-09-28,2020,Killingly,530 CHRISTOPHER WAY,126490.0,250000.0,0.5059,Residential,Single Family,Unknown,Unknown
2020-12-02,2020,Derby,130 MT PLEASANT ST,102130.0,93210.0,1.0956,Residential,Single Family,Unknown,Unknown
2021-03-15,2020,Enfield,1 OLDE MAPLE FARMS,72300.0,147500.0,0.4901,Residential,Condo,Unknown,Unknown
2021-04-05,2020,Farmington,44 OMERA FARM DR,215660.0,378400.0,0.5699,Residential,Condo,-72.87559,41.73324
2021-04-15,2020,Lebanon,RYAN TERRACE (103-29),27590.0,11000.0,2.508181818,Vacant Land,Unknown,Unknown,Unknown
2021-06-15,2020,Hartford,12 BALDWIN ST,62402.0,200000.0,0.312,Residential,Single Family,-72.67801,41.73461
2021-04-05,2020,Avon,239 OLD FARMS ROAD 11B,52600.0,84000.0,0.6261,Residential,Condo,-72.83581,41.79425
2021-01-13,2020,Hebron,30 GRISWOLD LANE,326970.0,600000.0,0.5449,Residential,Single Family,Unknown,Unknown
2021-03-24,2020,Manchester,468 WOODBRIDGE STREET UNIT 16,29800.0,60000.0,0.4966,Residential,Condo,-72.50579,41.79007
2021-08-09,2020,Avon,68 MOUNTAIN VIEW AVENUE,242280.0,425000.0,0.57,Residential,Single Family,Unknown,Unknown
2021-02-05,2020,Greenwich,45 1/2 RODWELL AVENUE UNB,342370.0,176750.0,1.937,Residential,Condo,Unknown,Unknown
